name,genre,type,episodes,rating,members
3149.0,2249.0,6.0,12.0,8.24,292622.0
4523.0,375.0,6.0,24.0,8.24,41584.0
4813.0,1809.0,6.0,12.0,8.24,87617.0
5220.0,2545.0,1.0,1.0,8.24,75359.0
5443.0,976.0,6.0,38.0,8.24,54211.0
5828.0,2104.0,6.0,11.0,8.24,108053.0
6326.0,247.0,6.0,25.0,8.24,317513.0
7025.0,777.0,6.0,25.0,8.24,120351.0
8856.0,3202.0,6.0,13.0,8.24,202249.0
9160.0,311.0,4.0,13.0,8.24,40355.0
9384.0,227.0,6.0,26.0,8.24,106888.0
293.0,77.0,6.0,24.0,8.23,216674.0
2077.0,1378.0,1.0,1.0,8.23,23130.0
2496.0,1133.0,6.0,12.0,8.23,115295.0
2796.0,2311.0,5.0,1.0,8.23,36091.0
3371.0,2733.0,6.0,51.0,8.23,17038.0
3454.0,2542.0,6.0,24.0,8.23,232113.0
3640.0,1828.0,5.0,1.0,8.23,20157.0
4522.0,375.0,6.0,26.0,8.23,68128.0
5385.0,637.0,6.0,24.0,8.23,508118.0
6173.0,2277.0,6.0,24.0,8.23,235003.0
8365.0,2365.0,1.0,1.0,8.23,117565.0
8679.0,1990.0,6.0,38.0,8.23,73218.0
9187.0,3233.0,1.0,1.0,8.23,89749.0
11215.0,163.0,4.0,2.0,8.23,40420.0
673.0,2745.0,6.0,79.0,8.22,15442.0
2656.0,68.0,6.0,175.0,8.22,584590.0
3241.0,3081.0,5.0,1.0,8.22,55247.0
6324.0,247.0,6.0,13.0,8.22,73480.0
9846.0,2483.0,6.0,39.0,8.22,77464.0
10693.0,574.0,1.0,1.0,8.22,72933.0
2082.0,1378.0,1.0,1.0,8.21,21789.0
2632.0,1090.0,1.0,1.0,8.21,194561.0
2843.0,627.0,6.0,12.0,8.21,171086.0
3282.0,799.0,1.0,1.0,8.21,11808.0
5136.0,810.0,1.0,1.0,8.21,108720.0
7026.0,777.0,6.0,25.0,8.21,86972.0
7684.0,2213.0,6.0,11.0,8.21,260062.0
11230.0,2213.0,6.0,4.0,8.21,111009.0
504.0,631.0,6.0,22.0,8.2,312654.0
613.0,2860.0,5.0,3.0,8.2,9500.0
763.0,3201.0,6.0,25.0,8.2,36251.0
1888.0,130.0,6.0,103.0,8.2,334399.0
3281.0,1114.0,4.0,24.0,8.2,8621.0
3340.0,535.0,5.0,1.0,8.2,13764.0
6199.0,1392.0,1.0,1.0,8.2,32732.0
7074.0,789.0,6.0,25.0,8.2,21210.0
8080.0,2353.0,6.0,13.0,8.2,22190.0
9174.0,1220.0,6.0,39.0,8.2,23160.0
9429.0,1809.0,1.0,1.0,8.2,23045.0
490.0,2744.0,1.0,1.0,8.19,95241.0
2043.0,1248.0,6.0,26.0,8.19,76860.0
2625.0,1478.0,6.0,50.0,8.19,239570.0
3248.0,1074.0,5.0,1.0,8.19,21435.0
3339.0,607.0,5.0,1.0,8.19,14728.0
4023.0,2311.0,4.0,2.0,8.19,5959.0
4083.0,2033.0,6.0,75.0,8.19,69000.0
5403.0,3198.0,6.0,25.0,8.19,309339.0
5648.0,1797.0,5.0,4.0,8.19,106989.0
11016.0,2438.0,6.0,11.0,8.19,121349.0
1340.0,1225.0,6.0,70.0,8.18,181249.0
12265.0,2655.0,6.0,12.0,8.18,103657.0
3272.0,2307.0,6.0,11.0,8.18,116261.0
3587.0,1760.0,6.0,24.0,8.18,130646.0
5598.0,1804.0,6.0,102.0,8.18,27893.0
6153.0,3127.0,1.0,1.0,8.18,38118.0
6456.0,2826.0,4.0,3.0,8.18,43372.0
9430.0,1809.0,4.0,2.0,8.18,35225.0
11765.0,2285.0,6.0,13.0,8.18,80763.0
1048.0,1177.0,6.0,12.0,8.17,332562.0
2090.0,1122.0,1.0,1.0,8.17,12151.0
2736.0,936.0,4.0,1.0,8.17,77111.0
4062.0,2994.0,6.0,26.0,8.17,359494.0
4338.0,3161.0,6.0,22.0,8.17,372246.0
4562.0,1486.0,2.0,1.0,8.17,31464.0
5111.0,2704.0,6.0,24.0,8.17,163171.0
5404.0,3198.0,6.0,12.0,8.17,171866.0
7739.0,365.0,6.0,12.0,8.17,515378.0
8381.0,929.0,1.0,1.0,8.17,13359.0
12288.0,1779.0,4.0,2.0,8.17,40401.0
12199.0,720.0,6.0,24.0,8.17,259900.0
619.0,2346.0,5.0,1.0,8.16,11961.0
2072.0,1378.0,1.0,1.0,8.16,26799.0
2073.0,1378.0,1.0,1.0,8.16,25461.0
2397.0,1305.0,6.0,153.0,8.16,316102.0
3713.0,1830.0,6.0,25.0,8.16,6321.0
4814.0,1809.0,6.0,12.0,8.16,39866.0
4839.0,249.0,6.0,45.0,8.16,66646.0
6505.0,1185.0,1.0,1.0,8.16,9943.0
6959.0,1497.0,6.0,26.0,8.16,15557.0
7955.0,85.0,4.0,1.0,8.16,33862.0
8408.0,830.0,6.0,26.0,8.16,159105.0
10560.0,2285.0,1.0,1.0,8.16,72708.0
10942.0,1175.0,6.0,24.0,8.16,137105.0
11119.0,2685.0,6.0,101.0,8.16,12833.0
12018.0,1828.0,6.0,38.0,8.16,91138.0
313.0,288.0,1.0,1.0,8.15,215897.0
1050.0,1177.0,4.0,5.0,8.15,108099.0
2498.0,1133.0,6.0,12.0,8.15,189407.0
3341.0,536.0,5.0,1.0,8.15,7923.0
4061.0,3227.0,1.0,1.0,8.15,24310.0
5938.0,2344.0,4.0,10.0,8.15,7954.0
7789.0,707.0,6.0,24.0,8.15,75612.0
8297.0,2809.0,1.0,1.0,8.15,163308.0
8662.0,2308.0,4.0,7.0,8.15,21020.0
9321.0,2260.0,6.0,26.0,8.15,93095.0
9427.0,1809.0,6.0,12.0,8.15,94820.0
268.0,2492.0,6.0,12.0,8.14,80862.0
1677.0,2686.0,5.0,1.0,8.14,160423.0
3295.0,207.0,6.0,21.0,8.14,10575.0
4520.0,375.0,6.0,14.0,8.14,26711.0
4859.0,2192.0,6.0,26.0,8.14,246276.0
6111.0,221.0,6.0,25.0,8.14,387100.0
9431.0,2281.0,1.0,1.0,8.14,13454.0
9980.0,1207.0,6.0,26.0,8.14,39832.0
616.0,2860.0,4.0,1.0,8.13,20629.0
2087.0,1378.0,1.0,1.0,8.13,17165.0
2156.0,14.0,1.0,1.0,8.13,20989.0
3342.0,531.0,5.0,1.0,8.13,29331.0
4410.0,1387.0,6.0,24.0,8.13,5063.0
5041.0,1700.0,6.0,13.0,8.13,189641.0
5143.0,2660.0,1.0,1.0,8.13,41168.0
7076.0,1474.0,4.0,12.0,8.13,34177.0
7923.0,233.0,1.0,1.0,8.13,6645.0
11486.0,1706.0,6.0,13.0,8.13,43916.0
11744.0,1493.0,4.0,4.0,8.13,37679.0
256.0,998.0,6.0,13.0,8.12,51382.0
547.0,1161.0,1.0,1.0,8.12,12353.0
1664.0,600.0,6.0,63.0,8.12,8199.0
2500.0,1133.0,6.0,12.0,8.12,132506.0
12267.0,2651.0,6.0,12.0,8.12,151106.0
3229.0,1081.0,1.0,1.0,8.12,51789.0
3251.0,1090.0,5.0,1.0,8.12,16614.0
3300.0,1641.0,6.0,52.0,8.12,5308.0
4524.0,375.0,6.0,13.0,8.12,45825.0
5025.0,2056.0,6.0,12.0,8.12,194300.0
7741.0,363.0,4.0,2.0,8.12,58075.0
10239.0,2125.0,1.0,1.0,8.12,5712.0
10889.0,602.0,6.0,25.0,8.12,104075.0
11824.0,1788.0,6.0,13.0,8.12,353876.0
2850.0,1437.0,5.0,4.0,8.11,67962.0
3721.0,2213.0,6.0,5.0,8.11,124886.0
5417.0,1794.0,6.0,13.0,8.11,44564.0
8077.0,2353.0,6.0,25.0,8.11,49599.0
8097.0,2277.0,6.0,24.0,8.11,200833.0
10574.0,1829.0,1.0,1.0,8.1,3187.0
10663.0,346.0,1.0,1.0,8.11,46018.0
10868.0,2248.0,3.0,5.0,8.11,13935.0
12284.0,1779.0,6.0,24.0,8.11,150872.0
1283.0,2703.0,1.0,3.0,8.1,324035.0
1958.0,996.0,5.0,1.0,8.1,29969.0
3280.0,2624.0,4.0,28.0,8.1,7712.0
4337.0,2974.0,6.0,39.0,8.1,10649.0
5167.0,2780.0,1.0,1.0,8.1,97910.0
6377.0,414.0,6.0,13.0,8.1,41685.0
9044.0,2546.0,4.0,2.0,8.1,49454.0
10577.0,2311.0,6.0,12.0,8.1,101335.0
951.0,138.0,1.0,1.0,8.09,66721.0
1983.0,1127.0,5.0,4.0,8.09,136135.0
2581.0,872.0,3.0,12.0,8.11,3846.0
3283.0,975.0,1.0,1.0,8.09,15069.0
4085.0,2885.0,5.0,1.0,8.09,13901.0
4332.0,2548.0,4.0,4.0,8.09,26036.0
4606.0,441.0,4.0,13.0,8.09,72021.0
4815.0,1809.0,4.0,2.0,8.09,23192.0
5560.0,1726.0,6.0,24.0,8.09,88986.0
5900.0,1785.0,6.0,11.0,8.09,41521.0
6302.0,1055.0,1.0,1.0,8.09,19240.0
7949.0,1319.0,5.0,1.0,8.09,30516.0
8661.0,646.0,4.0,13.0,8.09,25170.0
8663.0,651.0,4.0,6.0,8.09,21186.0
2646.0,646.0,6.0,145.0,8.08,83648.0
2845.0,1772.0,6.0,52.0,8.08,59374.0
3511.0,2511.0,6.0,10.0,8.08,111962.0
4718.0,2993.0,6.0,26.0,8.08,79816.0
4812.0,1809.0,6.0,12.0,8.08,117910.0
6712.0,1778.0,6.0,24.0,8.08,156689.0
9088.0,2306.0,4.0,1.0,8.08,11342.0
10170.0,86.0,6.0,51.0,8.08,580184.0
11190.0,639.0,1.0,1.0,8.08,68181.0
3611.0,2476.0,6.0,13.0,8.07,120731.0
5874.0,2308.0,5.0,1.0,8.07,41760.0
6278.0,1055.0,6.0,36.0,8.07,44157.0
6955.0,1123.0,6.0,26.0,8.07,657190.0
9182.0,170.0,4.0,3.0,8.07,6554.0
10743.0,2234.0,6.0,26.0,8.07,4584.0
10755.0,799.0,6.0,24.0,8.07,36941.0
11008.0,756.0,6.0,12.0,8.07,618056.0
11461.0,3022.0,5.0,4.0,8.07,36351.0
12072.0,3043.0,6.0,50.0,8.07,36921.0
736.0,2311.0,6.0,26.0,8.06,170901.0
1734.0,2744.0,1.0,1.0,8.06,63263.0
2102.0,1378.0,4.0,1.0,8.06,9649.0
2467.0,61.0,4.0,1.0,8.06,9807.0
2651.0,384.0,4.0,6.0,8.06,305165.0
2840.0,1054.0,6.0,13.0,8.06,155340.0
5877.0,388.0,6.0,24.0,8.06,424919.0
6146.0,3127.0,6.0,13.0,8.06,91864.0
6288.0,1055.0,1.0,1.0,8.06,17826.0
6323.0,247.0,4.0,5.0,8.06,52351.0
7525.0,2288.0,6.0,4.0,8.06,173264.0
9173.0,1220.0,6.0,39.0,8.06,50951.0
9319.0,2260.0,6.0,26.0,8.06,178553.0
10308.0,845.0,4.0,8.0,8.05,28220.0
10421.0,2200.0,6.0,14.0,8.06,428569.0
2758.0,2525.0,1.0,1.0,8.05,8505.0
3429.0,1252.0,4.0,6.0,8.05,113040.0
3510.0,2438.0,5.0,1.0,8.05,70039.0
5009.0,1742.0,6.0,51.0,8.05,42253.0
5137.0,1134.0,1.0,1.0,8.05,103600.0
6193.0,600.0,1.0,1.0,8.05,10021.0
7725.0,2298.0,6.0,12.0,8.05,133475.0
9401.0,2307.0,4.0,6.0,8.05,26361.0
11838.0,2344.0,6.0,69.0,8.05,50876.0
929.0,395.0,6.0,60.0,8.04,217752.0
2014.0,2505.0,1.0,1.0,8.04,95690.0
2495.0,653.0,5.0,2.0,8.04,103105.0
4777.0,361.0,6.0,12.0,8.04,81951.0
6383.0,414.0,1.0,1.0,8.04,20433.0
8217.0,222.0,6.0,13.0,8.04,244268.0
8648.0,632.0,6.0,178.0,8.04,87643.0
10523.0,1458.0,6.0,26.0,8.04,5306.0
12286.0,1779.0,1.0,1.0,8.04,41547.0
12091.0,2303.0,6.0,12.0,8.04,44335.0
1178.0,572.0,1.0,1.0,8.03,74690.0
1771.0,2970.0,1.0,1.0,8.03,50689.0
2550.0,2549.0,6.0,12.0,8.03,11903.0
2603.0,3151.0,6.0,23.0,8.03,265005.0
3730.0,1826.0,6.0,26.0,8.03,150393.0
3829.0,1701.0,6.0,13.0,8.03,409037.0
4005.0,2637.0,6.0,13.0,8.03,134694.0
4032.0,424.0,6.0,11.0,8.03,276593.0
4406.0,1464.0,6.0,23.0,8.03,6528.0
5698.0,1323.0,6.0,10.0,8.03,244877.0
5838.0,24.0,1.0,1.0,8.03,74028.0
7090.0,2610.0,6.0,50.0,8.03,28959.0
8685.0,1923.0,6.0,12.0,8.03,227734.0
9146.0,1564.0,6.0,114.0,8.03,70559.0
9301.0,2222.0,6.0,12.0,8.03,174531.0
9519.0,2218.0,4.0,2.0,8.03,31973.0
12236.0,2222.0,6.0,13.0,8.03,74040.0
264.0,1827.0,6.0,35.0,8.02,8353.0
1676.0,2675.0,5.0,1.0,8.02,138364.0
3664.0,740.0,1.0,1.0,8.03,9492.0
5135.0,1125.0,1.0,1.0,8.02,114415.0
6286.0,1055.0,6.0,25.0,8.02,95551.0
6327.0,1387.0,5.0,12.0,8.02,27274.0
9196.0,2306.0,6.0,26.0,8.02,67254.0
9607.0,568.0,4.0,11.0,8.02,24167.0
11127.0,2881.0,6.0,26.0,8.02,48127.0
1356.0,2241.0,4.0,12.0,8.01,71976.0
1889.0,706.0,6.0,13.0,8.01,72499.0
1996.0,3214.0,4.0,1.0,8.01,48432.0
2401.0,71.0,6.0,61.0,8.01,42666.0
3399.0,2350.0,6.0,12.0,8.01,38102.0
4019.0,2311.0,6.0,12.0,8.01,15748.0
5647.0,1797.0,6.0,13.0,8.01,283847.0
9177.0,170.0,4.0,3.0,8.01,5843.0
9810.0,2104.0,6.0,50.0,8.01,44668.0
10891.0,602.0,1.0,1.0,8.01,13567.0
